Provincia,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,Berazategui,,Si,No,,Si,Si,No
CORDOBA,,Sarmiento,Si,,No,No,,No
CORDOBA,Totoral,Simbolar,,No,No,,Si,No
,Berazategui,Guillermo E. Hudson,,Si,Si,Si,Si,
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,Berazategui,,Si,Si,,Si,Si,No
BUENOS AIRES,,Plátanos,No,,Si,Si,,No
BUENOS AIRES,Berazategui,,Si,Si,,Si,Si,
,Berazategui,Villa España,,No,Si,,Si,No
BUENOS AIRES,Berisso,Barrio Banco Provincia,,No,No,,No,No
,Berisso,Barrio El Carmen (Este),,No,Si,,No,
,Berisso,Barrio Universitario,No,No,No,Si,No,No
ENTRE RIOS,,,No,,,Si,,Si
ENTRE RIOS,,Hambis,No,,No,No,,No
,General Pinto,General Pinto,No,Si,No,Si,Si,
,General Pinto,Germania (Est. Mayor José Orellano),,No,No,,No,
BUENOS AIRES,General Pinto,,No,No,,No,No,No
BUENOS AIRES,,,No,,,Si,,Si
BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),,No,No,,No,No
,General Pueyrredón,Barrio Colinas Verdes,No,No,No,Si,No,
,General Pueyrredón,Barrio El Boquerón,No,No,No,Si,No,No
,General Pueyrredón,Barrio El Casal,,No,No,,No,No
BUENOS AIRES,,Barrio El Coyunco,No,,Si,Si,,
BUENOS AIRES,,,No,,,Si,,
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,,No,Si,,No,Si
,General Pueyrredón,Batán,Si,No,Si,Si,Si,Si
,General Pueyrredón,Camet,Si,No,Si,Si,Si,
,Colón,Hocker,,No,No,,No,
BUENOS AIRES,,Ingeniero Pablo Nogués,Si,,Si,Si,,No
BUENOS AIRES,,,Si,,,Si,,Si
BUENOS AIRES,Malvinas Argentinas,,No,No,,No,No,
BUENOS AIRES,,Tortuguitas,Si,,Si,Si,,
BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,,Si,Si,,Si,No
,Mar Chiquita,Atlantida,,No,No,Si,No,No
BUENOS AIRES,,,No,,,Si,,
BUENOS AIRES,Mar Chiquita,,Si,No,,Si,Si,No
,Mar Chiquita,Frente Mar,,No,No,,No,No
,San Miguel,San Miguel,Si,Si,Si,Si,Si,Si
BUENOS AIRES,,,No,,,No,,
BUENOS AIRES,,Conesa,Si,,No,Si,,Si
BUENOS AIRES,,,No,,No,No,,No
BUENOS AIRES,San Nicolás,,No,No,,Si,Si,Si
,San Nicolás,La Emilia,No,No,No,Si,No,No
BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,,Si,Si,,Si,
BUENOS AIRES,San Nicolás,,No,No,,No,No,No
BUENOS AIRES,,,No,,,Si,,No
BUENOS AIRES,,Villa Esperanza,No,,No,No,,
BUENOS AIRES,,,No,,,No,No,No
,San Pedro,Gobernador Castro,No,No,No,Si,No,No
BUENOS AIRES,San Pedro,Ingeniero Moneta,,No,No,,No,No
BUENOS AIRES,San Pedro,Obligado,,No,No,,No,No
,San Pedro,Pueblo Doyle,,No,No,,No,
BUENOS AIRES,San Pedro,,No,No,,Si,No,No
BUENOS AIRES,,,Si,,,Si,,Si
,San Pedro,Santa Lucía,No,No,Si,Si,Si,
BUENOS AIRES,San Vicente,Alejandro Korn,,Si,Si,,Si,
BUENOS AIRES,San Vicente,,No,No,,Si,,No
BUENOS AIRES,,San Vicente,Si,,Si,Si,,No
,Suipacha,General Rivas,,No,No,,Si,
,Suipacha,Suipacha,Si,Si,Si,Si,Si,
,Tandil,De la Canal,,No,No,,No,No
CABA,COMUNA 04,PARQUE PATRICIOS,,Si,Si,,Si,Si
CHUBUT,,,Si,,,Si,,
CHUBUT,Gastre,,No,No,,No,Si,
CHUBUT,Gastre,El Escorial,,No,No,,Si,Si
,Gastre,Gastre,,No,No,,Si,No
,Gastre,Lagunita Salada,,No,No,,Si,
,Gastre,Yala Laubat,No,No,No,No,No,
CHUBUT,Languiñeo,,No,No,,No,,Si
CHUBUT,,Carrenleufú,No,,No,No,,Si
ENTRE RIOS,,,No,,,Si,,
CABA,COMUNA 10,,Si,Si,,Si,Si,
,Río Cuarto,Coronel Moldes,,No,No,,Si,No
CORDOBA,Río Cuarto,Elena,,No,Si,,Si,No
CORDOBA,Río Cuarto,,Si,No,,No,Si,Si
CORDOBA,,La Cautiva,No,,No,Si,,
,Río Cuarto,La Gilda,No,No,No,No,No,No
CORDOBA,Río Cuarto,Las Acequias,,No,Si,,Si,No
CABA,,BELGRANO,Si,,Si,Si,,Si
CHUBUT,Languiñeo,,No,,,No,Si,
CHUBUT,Languiñeo,,No,No,,No,Si,Si
CHUBUT,,,No,,,No,,Si
CHUBUT,Mártires,El Mirasol,,No,No,,No,
,Mártires,Las Plumas,,No,No,,Si,Si
CHUBUT,,,No,,No,No,,Si
CHUBUT,Paso de Indios,,No,No,,No,Si,Si
CHUBUT,,,No,,,Si,,Si
CHUBUT,,Playa Magagna,No,,No,No,,
,Bragado,Bragado,,Si,Si,,Si,No
,Bragado,Comodoro Py,No,No,Si,Si,No,No
,Bragado,General O'Brien,Si,No,Si,Si,Si,
BUENOS AIRES,Bragado,Irala,,No,No,,Si,No
BUENOS AIRES,,La Limpia,No,,,No,,No
BUENOS AIRES,Bragado,,No,No,,No,No,No
BUENOS AIRES,Bragado,Mechita (Est. Mecha),,No,No,,No,
,Bragado,Olascoaga,,No,No,,No,
BUENOS AIRES,,Warnes,Si,,No,No,,No
BUENOS AIRES,,,No,,,Si,,No
,Brandsen,Barrio El Mirador,No,No,No,Si,No,
,Brandsen,Barrio Las Golondrinas,,No,No,,No,
BUENOS AIRES,Brandsen,Barrio Los Bosquecitos,,No,No,,No,No
,Brandsen,Barrio Parque Las Acacias,No,No,No,,No,No
BUENOS AIRES,Brandsen,,No,No,,Si,No,
BUENOS AIRES,,Club de Campo Las Malvinas,No,,No,No,,
,Paraná,Pueblo Moreno,,No,No,,No,No
RIO NEGRO,General Roca,Barrio Unión,,No,No,,No,No
,Brandsen,Coronel Brandsen,,No,Si,Si,Si,
BUENOS AIRES,Brandsen,Gómez,,No,No,,Si,No
BUENOS AIRES,,Jeppener,Si,,Si,Si,,No
BUENOS AIRES,Brandsen,,No,No,,Si,Si,No
BUENOS AIRES,,,No,,,Si,,
BUENOS AIRES,,Samborombón,No,,No,No,,
,Campana,Alto Los Cardales,,No,Si,,No,No
,Campana,Barrio Los Pioneros,No,No,No,Si,No,No
BUENOS AIRES,,Campana,Si,,Si,Si,,
BUENOS AIRES,Campana,,No,No,,Si,,No
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),,No,No,,No,No
,General Rodríguez,General Rodríguez,Si,Si,Si,Si,Si,Si
BUENOS AIRES,General San Martín,,No,Si,,Si,Si,
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,,Ciudad Del Libertador General San Martin,Si,,Si,Si,,Si
BUENOS AIRES,,,No,,,Si,,No
,General San Martín,Va Ma Irene De Los Remedios De Escalada,No,No,No,Si,No,No
,General San Martín,Villa Ayacucho,,No,Si,,No,
BUENOS AIRES,,,Si,,,Si,Si,No
BUENOS AIRES,,Villa Bernardo Monteagudo,No,,Si,Si,,No
BUENOS AIRES,,,No,,Si,Si,,
BUENOS AIRES,General San Martín,,No,No,,Si,No,No
,General San Martín,Villa General Antonio J. De Sucre,No,No,Si,Si,No,No
BUENOS AIRES,General San Martín,Villa General Eugenio Necochea,,No,Si,,No,No
,General San Martín,Villa General Jose Tomas Guido,,No,Si,,No,No
,General San Martín,Villa General Juan G. Las Heras,No,No,Si,Si,No,
BUENOS AIRES,,,No,,,Si,,No
BUENOS AIRES,,Villa Granaderos De San Martín,No,,Si,Si,,No
,General San Martín,Villa Gregoria Matorras,No,No,Si,Si,No,
BUENOS AIRES,General San Martín,Villa José León Suarez,,No,Si,,Si,
BUENOS AIRES,Mercedes,,No,No,,Si,No,No
BUENOS AIRES,,Jorge Born,No,,No,No,,No
BUENOS AIRES,Mercedes,Mercedes,,Si,Si,,Si,
,Mercedes,Tomás Jofré,,No,No,No,No,No
,Merlo,Libertad,Si,Si,Si,Si,Si,Si
,Merlo,Mariano Acosta,,No,Si,,Si,No
BUENOS AIRES,,Merlo,Si,,Si,Si,,
BUENOS AIRES,,,Si,,,Si,,
BUENOS AIRES,Merlo,San Antonio De Padua,,Si,Si,,Si,No
,Monte,Abbott,No,No,Si,Si,Si,Si
,Monte,San Miguel del Monte (Est. Monte),,Si,Si,,Si,
BUENOS AIRES,Monte,Zenón Videla Dorna,,No,No,,No,
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,Monte Hermoso,,Si,No,,Si,Si,No
BUENOS AIRES,Moreno,,No,Si,,Si,,No
BUENOS AIRES,,Francisco Alvarez,Si,,Si,Si,,
,Tigre,Don Torcuato Este,,Si,Si,,Si,No
,Tigre,Don Torcuato Oeste,No,No,No,Si,No,No
BUENOS AIRES,,El Talar,Si,,Si,Si,,
BUENOS AIRES,,,Si,,,Si,,Si
BUENOS AIRES,Tigre,Los Troncos Del Talar,,No,Si,,Si,Si
,Tigre,Nordelta,,No,Si,,Si,No
RIO NEGRO,Ñorquincó,,No,No,,No,Si,
RIO NEGRO,,,No,,,No,,Si
RIO NEGRO,,Ojos de Agua,No,,No,No,,No
BUENOS AIRES,,,Si,,,Si,Si,No
,Tigre,Rincón de Milberg,Si,No,Si,Si,Si,No
BUENOS AIRES,Tigre,Tigre,,No,Si,,Si,
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,,Villa Roch,No,,No,Si,,No
BUENOS AIRES,Tornquist,,No,No,,No,Si,No
BUENOS AIRES,,,Si,,,Si,,
BUENOS AIRES,Tornquist,Sierra de la Ventana,,No,Si,,Si,No
,Ñorquincó,Río Chico (Est. Cerro Mesa),,No,No,,Si,Si
,Pichi Mahuida,Barrio Esperanza,No,No,Si,No,No,
BUENOS AIRES,Cañuelas,Alejandro Petión,,Si,No,,Si,No
BUENOS AIRES,,Barrio Belgrano-Máximo Paz,No,,No,Si,,No
BUENOS AIRES,,,No,,,Si,No,No
,Cañuelas,Cañuelas,,Si,Si,,Si,
,Cañuelas,Gobernador Udaondo,No,No,No,Si,No,
BUENOS AIRES,,,No,,,No,,No
BUENOS AIRES,Cañuelas,,No,No,,Si,No,Si
,Cañuelas,Uribelarrea,,No,Si,,Si,No
BUENOS AIRES,Cañuelas,Vicente Casares,,Si,No,,Si,
,Capitán Sarmiento,Capitán Sarmiento,,No,Si,,Si,No
,Capitán Sarmiento,La Luisa,No,No,No,No,No,No
BUENOS AIRES,Carlos Casares,,No,Si,,No,,
BUENOS AIRES,,Villa Juan Martín De Pueyrredon,No,,Si,Si,,
,General San Martín,Villa Libertad,No,No,Si,Si,No,No
,General San Martín,Villa Lynch,,No,Si,,Si,No
BUENOS AIRES,General San Martín,Villa Maipu,,No,Si,,Si,
,General San Martín,Villa Marqués Alejandro María De Aguado,No,No,Si,,No,
BUENOS AIRES,General San Martín,,No,No,,Si,No,No
BUENOS AIRES,,Villa Parque San Lorenzo,No,,Si,Si,,No
BUENOS AIRES,,Villa San Andrés,Si,,Si,Si,,
BUENOS AIRES,,,No,,,Si,,No
,General Viamonte,Baigorrita,Si,No,No,Si,Si,No
,General Viamonte,La Delfina,,No,No,,No,No
BUENOS AIRES,Moreno,,Si,Si,,Si,Si,Si
BUENOS AIRES,,Moreno,Si,,Si,Si,,
,Moreno,Paso Del Rey,No,No,Si,Si,Si,Si
BUENOS AIRES,Moreno,Trujui,,Si,Si,,Si,No
BUENOS AIRES,,Castelar,Si,,,Si,,No
BUENOS AIRES,Morón,,Si,Si,,Si,Si,
BUENOS AIRES,,,Si,,,Si,,Si
BUENOS AIRES,,Tres Picos,No,,No,Si,,No
,Tornquist,Villa Serrana La Gruta,,No,No,,No,
,Tornquist,Villa Ventana,Si,No,No,Si,Si,No
BUENOS AIRES,,30 de Agosto,No,,Si,Si,,No
BUENOS AIRES,,,No,No,,Si,Si,No
BUENOS AIRES,,Girodias,Si,,No,No,,
BUENOS AIRES,,,No,,,No,,No
,Trenque Lauquen,Trenque Lauquen,Si,Si,Si,Si,Si,Si
,Trenque Lauquen,Trongé,,No,No,,No,No
BUENOS AIRES,Tres Arroyos,Balneario Orense,,No,No,,No,No
,San Antonio,Los Alisos,Si,No,No,No,No,
CABA,COMUNA 01,,Si,Si,,Si,Si,Si
CORDOBA,,,No,,No,Si,,No
,Calamuchita,Las Bajadas,,No,No,,No,
CORDOBA,Calamuchita,Las Caleras,,No,No,,Si,No
CORDOBA,,,Si,,,Si,,Si
CORDOBA,,Los Molinos,No,,No,No,,No
,Calamuchita,Los Reartes,,No,Si,,Si,
,COMUNA 06,CABALLITO,Si,Si,Si,Si,Si,
,Río Primero,La Puerta,,No,Si,,Si,No
CORDOBA,Río Primero,La Quinta,,No,No,,No,No
CORDOBA,,Las Gramillas,No,,No,Si,,
CORDOBA,Río Primero,,No,No,,No,Si,
CORDOBA,Río Primero,Maquinista Gallini,,No,No,,No,No
,Río Primero,Monte del Rosario,,No,No,,No,No
CORDOBA,Río Primero,Montecristo,,No,Si,,Si,Si
,Río Primero,Obispo Trejo,,No,No,,No,
CABA,COMUNA 10,,Si,Si,,Si,Si,Si
CORDOBA,,Sinsacate,Si,,Si,Si,,No
CORDOBA,,Villa del Totoral,Si,,Si,Si,,
CORDOBA,,,No,,,No,,No
,Tulumba,Churqui Cañada,No,No,No,No,No,No
,Tulumba,El Rodeo,,No,No,,No,No
