Año,Trimestre,Provincia,Accesos por cada 100 hogares
2017,4,La Rioja,5157
2017,4,Mendoza,3333
2017,4,Misiones,3114
2017,4,Neuquén,6124
2017,4,Río Negro,4938
2017,4,Salta,398
2017,4,San Juan,303
2017,4,San Luis,1059
2017,4,Santa Cruz,2891
2017,4,Santa Fe,6171
2017,4,Santiago Del Estero,2913
2017,4,Tierra Del Fuego,5989
2017,4,Tucumán,399
2017,3,Buenos Aires,5563
2017,3,Capital Federal,12186
2017,3,Catamarca,3249
2017,3,Chaco,2998
2017,3,Chubut,4622
2017,3,Córdoba,6231
2017,3,Corrientes,3217
2017,3,Entre Ríos,4596
2017,3,Formosa,2135
2017,3,Jujuy,2265
2017,3,La Pampa,6914
2017,3,La Rioja,5147
2017,3,Mendoza,357
2017,3,Misiones,3021
2017,3,Neuquén,6083
2017,3,Río Negro,4852
2017,3,Salta,3984
2017,3,San Juan,3237
2017,3,San Luis,1548
2017,3,Santa Cruz,3329
2017,3,Santa Fe,6091
2017,3,Santiago Del Estero,3512
2017,3,Tierra Del Fuego,6574
2017,3,Tucumán,397
2017,2,Buenos Aires,5627
2017,2,Capital Federal,12406
2017,2,Catamarca,2598
2017,2,Chaco,2905
2017,2,Chubut,3555
2017,2,Córdoba,5897
2017,2,Corrientes,3139
2017,2,Entre Ríos,4539
2017,2,Formosa,1997
2017,2,Jujuy,224
2017,2,La Pampa,6349
2017,2,La Rioja,162
2017,2,Mendoza,3176
2017,2,Misiones,3009
2017,2,Neuquén,6191
2017,2,Río Negro,4602
2017,2,Salta,3274
2017,2,San Juan,2696
2017,2,San Luis,951
2017,2,Santa Cruz,2625
2017,2,Santa Fe,5227
2017,2,Santiago Del Estero,1412
2017,2,Tierra Del Fuego,6846
2017,2,Tucumán,3819
2017,1,Buenos Aires,5857
2017,1,Capital Federal,10837
2017,1,Catamarca,2566
2017,1,Chaco,2862
2017,1,Chubut,3566
2017,1,Córdoba,5765
2017,1,Corrientes,3094
2017,1,Entre Ríos,4491
2017,1,Formosa,1984
2017,1,Jujuy,2276
2017,1,La Pampa,6267
2017,1,La Rioja,162
2017,1,Mendoza,3184
2017,1,Misiones,2952
2017,1,Neuquén,6102
2017,1,Río Negro,4603
2017,1,Salta,3258
2017,1,San Juan,2704
2017,1,San Luis,955
2017,1,Santa Cruz,2652
2017,1,Santa Fe,5197
2017,1,Santiago Del Estero,147
2017,1,Tierra Del Fuego,6892
2017,1,Tucumán,379
2016,4,Buenos Aires,6124
2016,4,Capital Federal,12063
2016,4,Catamarca,2654
2016,4,Chaco,2879
2016,4,Chubut,3607
2016,4,Córdoba,577
2016,4,Corrientes,3098
2016,4,Entre Ríos,4521
2016,4,Formosa,1985
2016,4,Jujuy,2265
2016,4,La Pampa,6302
2016,4,La Rioja,1646
2016,4,Mendoza,3211
2016,4,Misiones,2972
2016,4,Neuquén,6087
2016,4,Río Negro,4639
2016,4,Salta,3269
2016,4,San Juan,2729
2016,4,San Luis,964
2016,4,Santa Cruz,2705
2016,4,Santa Fe,5219
2016,4,Santiago Del Estero,1507
2016,4,Tierra Del Fuego,7031
2016,4,Tucumán,3798
2016,3,Buenos Aires,6014
2016,3,Capital Federal,12077
2016,3,Catamarca,2648
2016,3,Chaco,2891
2016,3,Chubut,3618
2016,3,Córdoba,5824
2016,3,Corrientes,3107
2016,3,Entre Ríos,4544
2016,3,Formosa,1864
2016,3,Jujuy,2261
2016,3,La Pampa,6173
2016,3,La Rioja,1707
2016,3,Mendoza,3209
2016,3,Misiones,2991
2016,3,Neuquén,6021
2016,3,Río Negro,4639
2016,3,Salta,3296
2016,3,San Juan,2732
2016,3,San Luis,963
2016,3,Santa Cruz,2684
2016,3,Santa Fe,5267
2016,3,Santiago Del Estero,1533
2016,3,Tierra Del Fuego,6894
2016,3,Tucumán,379
2016,2,Buenos Aires,5934
2016,2,Capital Federal,12004
2016,2,Catamarca,2607
2016,2,Chaco,2859
2016,2,Chubut,3612
2016,2,Córdoba,5755
2016,2,Corrientes,3058
2016,2,Entre Ríos,4474
2016,2,Formosa,1937
2016,2,Jujuy,2189
2016,2,La Pampa,6044
2016,2,La Rioja,1688
2016,2,Mendoza,3213
2016,2,Misiones,2924
2016,2,Neuquén,591
2016,2,Río Negro,4624
2016,2,Salta,3208
2016,2,San Juan,2734
2016,2,San Luis,96
2016,2,Santa Cruz,2673
2016,2,Santa Fe,5244
2016,2,Santiago Del Estero,1589
2016,2,Tierra Del Fuego,6772
2016,2,Tucumán,3724
2016,1,Buenos Aires,5734
2016,1,Capital Federal,11516
2016,1,Catamarca,2591
2016,1,Chaco,2808
2016,1,Chubut,3609
2016,1,Córdoba,5528
2016,1,Corrientes,3008
2016,1,Entre Ríos,4385
2016,1,Formosa,1904
2016,1,Jujuy,2141
2016,1,La Pampa,5784
2016,1,La Rioja,1683
2016,1,Mendoza,3212
2016,1,Misiones,2837
2016,1,Neuquén,5575
2016,1,Río Negro,4584
2016,1,Salta,3132
