id,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Dial up,Otros,Total
20203Catamarca,2020.0,3.0,Catamarca,26868.0,3690.0,16857.0,2610.0,1.0,2227.0,49904.0
20203Chaco,2020.0,3.0,Chaco,45745.0,58825.0,20675.0,6706.0,3.0,2000.0,133954.0
20203Chubut,2020.0,3.0,Chubut,45761.0,39386.0,2897.0,23216.0,825.0,17942.0,130027.0
20203Córdoba,2020.0,3.0,Córdoba,276360.0,430771.0,102217.0,48368.0,55.0,9701.0,867472.0
20203Corrientes,2020.0,3.0,Corrientes,50858.0,58681.0,2960.0,5513.0,3.0,5376.0,123391.0
20203Entre Ríos,2020.0,3.0,Entre Ríos,87892.0,106950.0,13954.0,20379.0,13.0,1219.0,241495.0
20203Formosa,2020.0,3.0,Formosa,21790.0,10003.0,2000.0,15023.0,,,49209.0
20203Jujuy,2020.0,3.0,Jujuy,32611.0,57682.0,11112.0,9520.0,,,106728.0
20203La Pampa,2020.0,3.0,La Pampa,9015.0,56845.0,14677.0,11893.0,116.0,1189.0,93735.0
20203La Rioja,2020.0,3.0,La Rioja,17346.0,34984.0,1.0,2500.0,3.0,347.0,52616.0
20203Mendoza,2020.0,3.0,Mendoza,91908.0,64672.0,32817.0,17523.0,615.0,8065.0,207788.0
20203Misiones,2020.0,3.0,Misiones,50195.0,77989.0,2572.0,3445.0,,,143186.0
20203Neuquén,2020.0,3.0,Neuquén,30222.0,70446.0,11043.0,16787.0,373.0,6997.0,129235.0
20203Río Negro,2020.0,3.0,Río Negro,49530.0,40001.0,10381.0,13187.0,501.0,17867.0,131467.0
20203Salta,2020.0,3.0,Salta,58216.0,84128.0,25445.0,5764.0,2.0,7291.0,180846.0
20203San Juan,2020.0,3.0,San Juan,40092.0,9223.0,5509.0,14023.0,256.0,592.0,77327.0
20203San Luis,2020.0,3.0,San Luis,8401.0,10077.0,6.0,61828.0,148.0,36105.0,116565.0
20203Santa Cruz,2020.0,3.0,Santa Cruz,12845.0,16098.0,1027.0,6938.0,197.0,2176.0,39281.0
20203Santa Fe,2020.0,3.0,Santa Fe,295051.0,405807.0,45721.0,37112.0,137.0,19170.0,802998.0
20203Santiago Del Estero,2020.0,3.0,Santiago Del Estero,26419.0,70720.0,555.0,4185.0,1.0,3612.0,105492.0
20203Tierra Del Fuego,2020.0,3.0,Tierra Del Fuego,12854.0,26491.0,0.0,0.0,289.0,2811.0,39655.0
20203Tucumán,2020.0,3.0,Tucumán,149605.0,11752.0,59949.0,1808.0,22.0,7598.0,223876.0
20202Buenos Aires,2020.0,2.0,Buenos Aires,661272.0,2244277.0,723072.0,91736.0,5066.0,52123.0,3777546.0
20202Capital Federal,2020.0,2.0,Capital Federal,178896.0,1106133.0,39482.0,3937.0,1390.0,27983.0,1357821.0
20202Catamarca,2020.0,2.0,Catamarca,26968.0,3641.0,14878.0,2610.0,1.0,2227.0,47976.0
20202Chaco,2020.0,2.0,Chaco,46816.0,56017.0,17266.0,6452.0,3.0,1578.0,128132.0
20202Chubut,2020.0,2.0,Chubut,45761.0,38279.0,1324.0,17678.0,825.0,4789.0,108656.0
20202Córdoba,2020.0,2.0,Córdoba,282858.0,415007.0,85818.0,44522.0,55.0,8208.0,836468.0
20202Corrientes,2020.0,2.0,Corrientes,51248.0,55536.0,3144.0,3927.0,3.0,5008.0,118866.0
20202Entre Ríos,2020.0,2.0,Entre Ríos,89391.0,99423.0,13954.0,20042.0,13.0,11290.0,234113.0
20202Formosa,2020.0,2.0,Formosa,21805.0,9353.0,1882.0,14723.0,,,47932.0
20202Jujuy,2020.0,2.0,Jujuy,32705.0,38938.0,5057.0,9520.0,,,94316.0
20202La Pampa,2020.0,2.0,La Pampa,8551.0,54422.0,14232.0,11314.0,116.0,13.0,89809.0
20202La Rioja,2020.0,2.0,La Rioja,16885.0,34984.0,1.0,2500.0,3.0,347.0,52155.0
20202Mendoza,2020.0,2.0,Mendoza,91904.0,62941.0,29613.0,15924.0,615.0,7405.0,201184.0
20202Misiones,2020.0,2.0,Misiones,50792.0,74497.0,2579.0,3319.0,,,140340.0
20202Neuquén,2020.0,2.0,Neuquén,30256.0,67990.0,11037.0,15755.0,373.0,761.0,126172.0
20202Río Negro,2020.0,2.0,Río Negro,49756.0,39650.0,10382.0,11331.0,501.0,17866.0,129486.0
20202Salta,2020.0,2.0,Salta,59502.0,81740.0,24289.0,5123.0,2.0,7106.0,177762.0
20202San Juan,2020.0,2.0,San Juan,40092.0,8275.0,5509.0,7019.0,256.0,8626.0,69777.0
20202San Luis,2020.0,2.0,San Luis,8401.0,8357.0,6.0,60935.0,148.0,36105.0,113952.0
20202Santa Cruz,2020.0,2.0,Santa Cruz,12845.0,16044.0,1027.0,6585.0,197.0,2171.0,38869.0
20202Santa Fe,2020.0,2.0,Santa Fe,299974.0,381679.0,46698.0,30487.0,137.0,18957.0,777932.0
20202Santiago Del Estero,2020.0,2.0,Santiago Del Estero,25917.0,72074.0,355.0,3038.0,1.0,4062.0,105447.0
20202Tierra Del Fuego,2020.0,2.0,Tierra Del Fuego,12854.0,26025.0,0.0,0.0,289.0,2811.0,39189.0
20202Tucumán,2020.0,2.0,Tucumán,150084.0,9833.0,55120.0,1357.0,22.0,7598.0,217156.0
20201Buenos Aires,2020.0,1.0,Buenos Aires,673237.0,2210349.0,720688.0,85443.0,5066.0,13268.0,3708051.0
20201Capital Federal,2020.0,1.0,Capital Federal,184494.0,1097635.0,38898.0,3911.0,1390.0,27166.0,1353494.0
20201Catamarca,2020.0,1.0,Catamarca,21945.0,3146.0,12056.0,2610.0,1.0,2226.0,39635.0
20201Chaco,2020.0,1.0,Chaco,46356.0,54144.0,11958.0,6239.0,3.0,155.0,120277.0
20201Chubut,2020.0,1.0,Chubut,45763.0,27287.0,1324.0,16885.0,800.0,4679.0,96738.0
20201Córdoba,2020.0,1.0,Córdoba,286168.0,406109.0,68512.0,41617.0,55.0,8638.0,811099.0
20201Corrientes,2020.0,1.0,Corrientes,51126.0,53231.0,2172.0,2437.0,3.0,5001.0,113970.0
20201Entre Ríos,2020.0,1.0,Entre Ríos,90368.0,95434.0,13245.0,18737.0,13.0,14049.0,231846.0
20201Formosa,2020.0,1.0,Formosa,21068.0,8887.0,1800.0,1451.0,,,46434.0
20201Jujuy,2020.0,1.0,Jujuy,32066.0,38938.0,3078.0,9420.0,,,91665.0
20201La Pampa,2020.0,1.0,La Pampa,8553.0,53755.0,13821.0,11295.0,116.0,1686.0,89226.0
20201La Rioja,2020.0,1.0,La Rioja,13076.0,34984.0,0.0,2510.0,3.0,287.0,48340.0
20201Mendoza,2020.0,1.0,Mendoza,91955.0,50251.0,28059.0,12465.0,615.0,6605.0,183452.0
20201Misiones,2020.0,1.0,Misiones,51458.0,69452.0,1220.0,4600.0,,,133552.0
20201Neuquén,2020.0,1.0,Neuquén,29305.0,65951.0,11031.0,14711.0,373.0,6917.0,121727.0
20201Río Negro,2020.0,1.0,Río Negro,47756.0,38479.0,10381.0,11222.0,501.0,17861.0,126200.0
20201Salta,2020.0,1.0,Salta,60426.0,75593.0,23025.0,4125.0,2.0,7210.0,170381.0
20201San Juan,2020.0,1.0,San Juan,40092.0,6448.0,5508.0,7082.0,256.0,4845.0,64231.0
20201San Luis,2020.0,1.0,San Luis,8301.0,7612.0,5.0,58301.0,148.0,36185.0,110552.0
20201Santa Cruz,2020.0,1.0,Santa Cruz,12845.0,15766.0,1026.0,6817.0,197.0,2171.0,38822.0
20201Santa Fe,2020.0,1.0,Santa Fe,302366.0,383673.0,35123.0,30488.0,137.0,19331.0,771118.0
20201Santiago Del Estero,2020.0,1.0,Santiago Del Estero,24695.0,70424.0,200.0,2779.0,1.0,4656.0,102755.0
20201Tierra Del Fuego,2020.0,1.0,Tierra Del Fuego,12854.0,25632.0,0.0,0.0,289.0,2791.0,38794.0
20201Tucumán,2020.0,1.0,Tucumán,143184.0,10494.0,44687.0,1355.0,22.0,3448.0,200067.0
20194Buenos Aires,2019.0,4.0,Buenos Aires,720011.0,2191672.0,669194.0,87111.0,5134.0,13132.0,3686254.0
20194Capital Federal,2019.0,4.0,Capital Federal,196938.0,1093143.0,35534.0,3914.0,1410.0,27166.0,1358105.0
20194Catamarca,2019.0,4.0,Catamarca,22999.0,3318.0,9506.0,2610.0,1.0,2226.0,38311.0
20194Chaco,2019.0,4.0,Chaco,48661.0,53602.0,8831.0,5229.0,3.0,155.0,117903.0
20194Chubut,2019.0,4.0,Chubut,47045.0,26977.0,1324.0,15267.0,810.0,4679.0,96102.0
20194Córdoba,2019.0,4.0,Córdoba,296872.0,410038.0,53335.0,3775.0,55.0,8638.0,806688.0
20194Corrientes,2019.0,4.0,Corrientes,52525.0,51845.0,2002.0,2458.0,3.0,5001.0,113834.0
20194Entre Ríos,2019.0,4.0,Entre Ríos,92981.0,99206.0,12875.0,18561.0,13.0,15394.0,239030.0
20194Formosa,2019.0,4.0,Formosa,21567.0,8684.0,1760.0,14531.0,,,46711.0
20194Jujuy,2019.0,4.0,Jujuy,32949.0,37604.0,873.0,8140.0,,,88881.0
20194La Pampa,2019.0,4.0,La Pampa,15457.0,56854.0,4942.0,11341.0,119.0,1686.0,90399.0
20194La Rioja,2019.0,4.0,La Rioja,13738.0,34984.0,0.0,2510.0,3.0,287.0,49002.0
20194Mendoza,2019.0,4.0,Mendoza,96678.0,49711.0,24989.0,13672.0,623.0,6677.0,185780.0
20194Misiones,2019.0,4.0,Misiones,53116.0,69676.0,847.0,4410.0,,,135813.0
20194Neuquén,2019.0,4.0,Neuquén,29826.0,60970.0,10549.0,14246.0,376.0,8164.0,116445.0
20194Río Negro,2019.0,4.0,Río Negro,49747.0,37933.0,9658.0,11437.0,504.0,17861.0,127140.0
20194Salta,2019.0,4.0,Salta,63272.0,76062.0,21865.0,304.0,2.0,8204.0,172445.0
20194San Juan,2019.0,4.0,San Juan,41360.0,6338.0,4931.0,7241.0,259.0,4845.0,64974.0
20194San Luis,2019.0,4.0,San Luis,8569.0,8027.0,6.0,55266.0,148.0,36185.0,108201.0
20194Santa Cruz,2019.0,4.0,Santa Cruz,13264.0,15899.0,1036.0,68.0,200.0,2171.0,39370.0
20194Santa Fe,2019.0,4.0,Santa Fe,312072.0,382254.0,27464.0,26978.0,150.0,20251.0,769169.0
20194Santiago Del Estero,2019.0,4.0,Santiago Del Estero,24682.0,71239.0,200.0,281.0,1.0,4656.0,103588.0
20194Tierra Del Fuego,2019.0,4.0,Tierra Del Fuego,13261.0,26821.0,0.0,0.0,291.0,2809.0,40392.0
20194Tucumán,2019.0,4.0,Tucumán,146985.0,11012.0,39574.0,7250.0,23.0,3457.0,198644.0
2019 *3 *Buenos Aires,2019.0,3.0,Buenos Aires,1277249.0,2144956.0,425386.0,85572.0,,,3960233.0
2019 *3 *Capital Federal,2019.0,3.0,Capital Federal,300288.0,1080973.0,24900.0,3895.0,,,1441211.0
2019 *3 *Catamarca,2019.0,3.0,Catamarca,24349.0,5543.0,13.0,2440.0,,,32400.0
2019 *3 *Chaco,2019.0,3.0,Chaco,50416.0,49156.0,8063.0,5224.0,,,114451.0
2019 *3 *Chubut,2019.0,3.0,Chubut,37298.0,27090.0,1917.0,15149.0,,,89005.0
2019 *3 *Córdoba,2019.0,3.0,Córdoba,307780.0,399231.0,30064.0,37277.0,,,783053.0
2019 *3 *Corrientes,2019.0,3.0,Corrientes,53344.0,50230.0,1888.0,2458.0,,,112759.0
2019 *3 *Entre Ríos,2019.0,3.0,Entre Ríos,94947.0,96305.0,12888.0,1853.0,,,238102.0
2019 *3 *Formosa,2019.0,3.0,Formosa,21777.0,8359.0,1476.0,14292.0,,,46066.0
2019 *3 *Jujuy,2019.0,3.0,Jujuy,33110.0,35742.0,274.0,8120.0,,,86576.0
2019 *3 *La Pampa,2019.0,3.0,La Pampa,19469.0,52941.0,4994.0,11462.0,,,90828.0
2019 *3 *La Rioja,2019.0,3.0,La Rioja,14390.0,34984.0,11.0,2510.0,,,49677.0
2019 *3 *Mendoza,2019.0,3.0,Mendoza,148640.0,54312.0,6865.0,12975.0,,,224337.0
2019 *3 *Misiones,2019.0,3.0,Misiones,54493.0,65872.0,829.0,4190.0,,,133883.0
2019 *3 *Neuquén,2019.0,3.0,Neuquén,43347.0,60484.0,5560.0,13512.0,,,125421.0
