Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2021,3,Córdoba,990,2452,204989,141285,6505,47198,476459,9256,946788
2021,3,Corrientes,670,6450,29629,28478,24792,9687,35468,5053,133819
2021,3,Entre Ríos,1070,3024,61354,59776,39114,16284,67961,12755,260375
2021,3,Formosa,3810,0,22778,7142,6978,1192,12707,1617,52795
2021,3,Jujuy,480,1750,23884,16417,37755,5610,29917,2401,111158
2021,3,La Pampa,2980,3130,65063,7395,8737,4023,10506,4152,100487
2021,3,La Rioja,180,10,5366,5979,23315,4868,42613,0,82160
2021,3,Mendoza,360,310,151871,1264,62628,7596,21087,500,255939
2021,3,Misiones,510,50,41932,25099,26079,14792,42291,8279,158528
2021,3,Neuquén,1120,3270,57441,8566,6234,3631,57919,5579,139809
2021,3,Río Negro,1250,5570,68991,373,1488,2282,34011,20009,144585
2021,3,Salta,1010,200,41431,70104,6962,3878,67010,6327,195833
2021,3,San Juan,180,3330,59873,7520,1325,3380,278,4641,79483
2021,3,San Luis,600,0,11552,2405,6491,67942,22,29392,117864
2021,3,Santa Cruz,500,0,30561,8365,6799,1788,678,7350,48976
2021,3,Santa Fe,4670,5790,193207,20125,83941,5508,290793,16267,841584
2021,3,Santiago Del Estero,1230,9090,32752,61838,11274,8010,6863,8980,115458
2021,3,Tierra Del Fuego,170,0,23723,13397,9782,1433,976,8950,50223
2021,3,Tucumán,320,970,39446,50293,21986,53,115154,1640,232472
2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351
2021,2,Capital Federal,2940,6030,157558,73568,43859,86655,1037752,660,1400355
2021,2,Catamarca,710,0,7219,9091,6828,4941,25388,2206,55744
2021,2,Chaco,3010,1120,23444,21574,24032,16069,47239,7958,140729
2021,2,Chubut,1040,1050,89639,22605,16604,3896,1112,5172,139237
2021,2,Córdoba,990,2452,201757,136516,6695,70824,442357,9925,930880
2021,2,Corrientes,670,6450,29419,27037,24524,10059,32697,5053,129501
